1035,38,1274,247
1035,38,1274,247
1035,38,1274,247
1035,38,1273,247
1035,38,1273,247
1035,38,1273,247
1035,38,1273,247
1034,38,1272,248
1034,38,1272,248
1034,38,1272,248
1034,38,1271,248
1034,38,1271,248
1034,38,1271,248
1034,38,1271,248
1034,38,1270,248
1034,38,1270,248
1034,38,1269,248
1034,38,1269,248
1033,38,1268,248
1033,38,1268,248
1033,38,1268,248
1033,38,1268,248
1033,38,1267,248
1033,38,1267,248
1033,38,1266,248
1033,38,1265,248
1033,38,1265,248
1032,38,1264,248
1032,38,1264,248
1032,38,1264,248
1032,38,1263,248
1032,38,1262,248
1032,38,1261,248
1031,38,1260,248
1028,38,1247,248
1025,38,1234,248
1022,38,1222,248
1018,38,1209,248
1015,38,1197,248
1012,38,1185,248
1010,38,1174,248
1007,38,1163,248
1005,38,1154,248
1002,38,1144,248
1000,38,1136,248
998,38,1128,248
996,38,1120,248
995,38,1114,248
993,38,1109,248
1195,38,1900,245
1196,38,1905,244
1197,38,1910,244
1198,38,1914,244
1200,38,1919,244
1201,38,1924,244
1202,38,1930,244
1204,38,1935,244
1205,38,1940,244
1207,38,1946,244
1208,38,1951,244
1210,38,1957,244
1211,38,1962,244
1212,38,1968,244
1214,38,1973,244
1215,38,1978,244
1216,38,1984,244
1218,38,1988,244
1219,38,1993,244
1220,38,1997,244
1221,38,2002,244
1222,38,2006,244
1223,38,2010,244
1225,38,2015,244
1226,38,2019,244
1227,38,2023,244
1228,38,2028,244
1229,38,2032,244
1230,38,2037,244
1232,38,2042,244
1233,38,2047,244
1234,38,2052,244
1236,38,2058,244
1237,38,2063,244
1238,38,2068,244
1240,38,2074,244
1241,38,2079,244
1243,38,2084,244
1244,38,2089,244
1245,38,2094,244
1246,38,2099,244
1248,38,2104,244
1249,38,2108,244
1250,38,2113,244
1251,38,2117,243
1252,38,2121,243
1253,38,2124,243
1254,38,2127,243
1255,38,2130,243
1255,38,2133,243
1256,38,2136,243
1257,38,2138,243
1257,38,2140,243
1258,38,2142,243
1258,38,2143,243
1258,38,2145,243
1259,38,2146,243
1259,38,2146,243
1259,38,2147,243
1259,38,2148,243
1259,38,2149,243
1259,38,2149,243
1259,38,2149,243
1260,38,2150,243
1260,38,2151,243
1260,38,2152,243
1260,38,2152,243
1260,38,2153,243
1261,38,2155,243
1261,38,2155,243
1261,38,2157,243
1262,38,2158,243
1262,38,2160,243
1263,38,2161,243
1263,38,2163,243
1263,38,2164,243
1264,38,2165,243
1264,38,2167,243
1264,38,2167,243
1265,38,2169,243
1265,38,2170,243
1265,38,2170,243
1265,38,2171,243
1265,38,2171,243
1265,38,2172,243
1265,38,2172,243
1265,38,2171,243
1265,38,2171,243
1265,38,2171,243
1265,38,2170,243
1265,38,2170,243
1265,38,2169,243
1264,38,2167,243
1264,38,2167,243
1264,38,2165,243
1263,38,2164,243
1263,38,2163,243
1263,38,2161,243
1262,38,2161,243
1262,38,2159,243
1262,38,2158,243
1261,38,2156,243
1261,38,2155,243
1260,38,2153,243
1260,38,2152,243
1260,38,2151,243
994,38,1112,248
994,38,1112,248
994,38,1112,248
994,38,1113,248
994,38,1113,248
994,38,1113,248
994,38,1113,248
994,38,1113,248
994,38,1113,248
994,38,1113,248
994,38,1113,248
994,38,1113,248
994,38,1113,248
994,38,1113,248
995,38,1114,248
995,38,1114,248
995,38,1114,248
995,38,1114,248
995,38,1114,248
995,38,1114,248
995,38,1114,248
995,38,1115,248
995,38,1115,248
